"id","rate"
"02013",43.15
"02016",2.71
"02020",32.31
"02050",9.54
"02070",51.97
"02090",31.37
"02110",429.53
"02122",66.39
"02130",464.33
"02150",8.07
"02170",65.56
"02180",17.6
"02220",549.84
"02240",23.78
"02261",163.63
"02282",713.64
"01001",17.53
"01003",21.47
"01005",86.84
"01007",49.21
"01009",27.56
"01011",104.21
"01013",19.84
"01015",12.85
"01017",4.66
"01019",45.31
"01021",16.84
"01023",2.84
"01025",28
"01027",75.59
"01029",74.15
"01031",148.83
"01033",32.9
"01035",55.92
"01039",112.4
"01041",46.1
"01043",22.29
"01045",50.52
"01047",32.73
"01049",37.09
"01051",13.9
"01053",75.74
"01055",29.97
"01057",11.68
"01059",78.4
"01061",220.71
"01063",35.92
"01065",37.14
"01067",186.92
"01069",75.83
"01071",30.84
"01073",1.68
"01075",16.94
"01077",22.55
"01079",291.33
"01081",73.75
"01083",43.08
"01085",20.16
"01087",48.4
"01089",18.41
"01091",37.39
"01093",5.59
"01095",62.96
"01097",5.37
"01099",79.85
"01101",60.62
"01103",16.2
"01105",97.52
"01107",41.88
"01109",58.5
"01111",4.77
"01113",10.42
"01115",0.06
"01117",9.67
"01119",9.6
"01121",29.07
"01123",1.41
"01125",15.19
"01127",10.21
"01129",15.39
"01131",57.88
"01133",53.24
"05001",383.32
"05003",257.72
"05005",10.9
"05007",14.66
"05009",48.96
"05011",77.39
"05015",59.86
"05017",810.03
"05019",51.13
"05021",275.03
"05023",5
"05027",0.8
"05029",67.86
"05031",78.3
"05033",13.89
"05035",186.63
"05037",637.33
"05041",804.7
"05043",175.44
"05045",14.15
"05047",256.17
"05049",14.38
"05051",106.66
"05055",152
"05057",118.99
"05059",17.47
"05061",97.57
"05063",151.08
"05065",18.79
"05067",534.3
"05069",85.84
"05071",111.78
"05073",263.41
"05075",201.75
"05077",572.33
"05079",151.56
"05081",118.96
"05083",209.78
"05085",51.94
"05087",40.43
"05089",3.66
"05091",236.97
"05093",195.16
"05095",751.4
"05097",240.67
"05101",117.16
"05103",9.31
"05105",44.29
"05107",608.48
"05109",70.4
"05111",465.42
"05113",166.8
"05115",118.83
"05117",263.24
"05119",50.93
"05121",60.03
"05123",232.37
"05125",1.55
"05127",266.61
"05129",22.86
"05131",27.5
"05133",108.85
"05135",12.45
"05137",159.81
"05139",2.36
"05141",2.95
"05143",45.48
"05145",47.48
"05147",800.33
"05149",154.48
"04001",118.71
"04003",52.14
"04005",202.34
"04007",129.5
"04009",152.69
"04011",112.3
"04012",12.46
"04013",8.4
"04015",1.35
"04017",54.48
"04019",18.01
"04021",39.22
"04023",50.02
"04025",44.42
"04027",7.26
"06001",24.62
"06003",210.34
"06005",46.23
"06007",46.69
"06009",40.71
"06011",291.65
"06013",0.61
"06015",74.48
"06017",157.17
"06019",128.14
